LOCATION,ATTITUDEVIOL,LAWDOMVIOL,PREVVIOLLIFETIME
AFG,80.2,0.75,60.8
AGO,25.2,0.75,34.8
ALB,29.8,0.5,24.6
ARM,10.1,0.75,8.2
AUS,3.2,0.75,16.9
AUT,3,0.25,13
AZE,28,0.75,13.5
BDI,72.9,0.5,46.7
BEL,2,0.5,24
BEN,36,0.5,68.6
BFA,43.5,0.75,11.5
BGD,28.3,0.75,53.3
BGR,18.2,0.75,23
BIH,4.8,0.5,13.1
BLR,4.1,0.75,25
BOL,16.1,0.25,64.1
BRA,8.5,0.25,33.5
BTN,68.4,0.5,26.5
CAF,79.6,0.25,29.8
CAN,7.8,0.25,1.9
CHE,15.2,0.75,9.8
CHL,10.3,0.75,6.7
CIV,47.9,0.75,25.9
CMR,36.1,0.75,51.1
COD,74.8,0.75,50.7
COL,11.1,0.25,37.4
CRI,3.5,0.75,36
CYP,10.5,0.25,15
CZE,2,0.75,21
DEU,19.6,0.75,22
DNK,0,0.5,32
DOM,2,0.25,20.4
ECU,25.2,0.5,37.5
ESP,9.6,0.5,13
EST,16.9,0.25,20
ETH,63,0.5,28
FIN,11.2,0.75,30
FJI,42.6,0.75,64.1
FRA,6.6,0.25,26
GAB,50.2,0.75,48.6
GBR,10.2,0.75,29
GEO,8.6,0.75,6.1
GHA,28.3,0.75,24.4
GIN,92.1,0.75,80
GMB,58.4,0.5,20.1
GNB,41.8,0.75,56.9
GRC,2,0.25,19
GTM,11,0.75,18
HKG,26,0.75,9.4
HND,12.4,0.25,21.6
HRV,4.4,0.25,13
HTI,58.9,0.75,20.8
HUN,8.7,0.75,21
IDN,34.5,0.75,18.3
IND,22.1,0.5,28.7
IRL,1,0.25,15
IRN,21,0.75,66
IRQ,54.8,0.75,21.2
ITA,5.3,0.75,19
JAM,4.9,0.75,19.7
JOR,18,0.75,23.6
JPN,8.9,0.75,15.4
KAZ,14.2,0.75,16.5
KEN,41.8,0.5,39.4
KGZ,32.8,0.75,25.4
KHM,50.4,0.5,20.9
KOR,18.4,0.25,16.5
LAO,58.2,0.25,15.3
LBN,43.6,0.75,10.4
LBR,42.5,0.75,38.5
LKA,53.2,0.5,16.6
LSO,37.1,0.75,62
LTU,2,0.5,24
LUX,2,0.75,22
LVA,2,0.75,32
MAR,22,0.75,30
MDA,11.2,0.25,45.5
MDG,45.2,0.5,30
MEX,5,0.5,14.1
MKD,14.5,0.75,27.7
MLI,72.6,0.75,34.6
MLT,0,0.25,15
MMR,51.2,0.75,33
MNG,10.1,0.25,31.2
MOZ,22.9,0.75,21.7
MWI,16.3,0.5,37.5
NAM,28.2,0.25,25
NGA,34.7,0.75,16.2
NIC,13.7,0.25,22.5
NLD,6.4,0.75,25
NOR,9.9,0.25,27
NPL,42.9,0.25,25
NZL,7.7,0.75,35
PAK,42.2,0.5,85
PER,32.2,0.75,33.2
PHL,12.9,0.75,16.9
POL,7.9,0.75,13
PRT,2,0.25,19
PRY,22.9,0.5,17.9
ROU,7.5,0.25,24
RUS,23.3,1,19.6
RWA,41.4,0.5,34.4
SEN,56.5,0.5,78
SGP,40.5,0.5,6.1
SLE,62.8,0.5,45.3
SLV,7.7,0.5,26.3
SRB,3.8,0.25,23.7
SVK,5,0.25,23
SVN,15.8,0.25,13
SWE,10.2,0.25,28
TCD,73.5,0.75,28.6
TGO,28.7,0.75,22.1
THA,8.6,0.75,44.2
TJK,59.6,0.75,20.3
TLS,86.2,0.5,58.8
TTO,9.9,0.75,30.2
TUN,18.6,0.5,20.3
TUR,13.3,0.25,38
TZA,58,0.75,41.7
UGA,58.3,0.75,49.9
UKR,2.9,0.75,13.2
URY,1.5,0.75,14.8
USA,11,0.5,35.6
VNM,28.2,0.75,34.4
YEM,48.7,0.75,67
ZAF,61.2,0.5,20.6
ZMB,46.9,0.5,42.7
ZWE,38.7,0.5,35.4
